short_name;longitude;latitude
E4-0396;31.45993;2.48431
E4-0397;31.45993;2.48431
E4-0398;31.45218;2.50504
E4-0399;31.45218;2.50504
E4-0400;31.45218;2.50504
E4-0402;31.49154;2.4649
E4-0403;31.49154;2.4649
E4-0404;31.49154;2.4649
E4-0405;31.49154;2.4649
E5-0666;31.8742;1.63416
E5-0668;31.8742;1.63416
E5-0669;31.8742;1.63416
E5-0670;31.8742;1.63416
E5-0671;31.77569;1.68576
E5-0672;31.77569;1.68576
E5-0673;31.77569;1.68576
E5-0674;31.77569;1.68576
E5-0675;31.77569;1.68576
E5-0676;31.79751;1.66295
E5-0680;31.79751;1.66295
E5-0683;31.70617;1.65583
E6-0716;31.83417;0.89346
E6-0717;31.83417;0.89346
E6-0718;31.83417;0.89346
E6-0719;31.83417;0.89346
E6-0721;31.74691;0.80434
E6-0722;31.74691;0.80434
E6-0723;31.74691;0.80434
E6-0725;31.74691;0.80434
E6-0736;31.71469;0.96348
E6-0737;31.71469;0.96348
E6-0738;31.71469;0.96348
E6-0739;31.71469;0.96348
E6-0740;31.71469;0.96348
E6-0741;31.54386;1.04473
E6-0742;31.54386;1.04473
E6-0744;31.54386;1.04473
E6-0745;31.54386;1.04473
E7-0766;31.37542;0.56042
E7-0767;31.37542;0.56042
E7-0768;31.37542;0.56042
E7-0769;31.37542;0.56042
E7-0770;31.37542;0.56042
E7-0771;31.90779;0.39083
E7-0773;31.90779;0.39083
E7-0774;31.90779;0.39083
E7-0775;31.90779;0.39083
E7-0777;31.46853;0.50165
E7-0778;31.46853;0.50165
E7-0779;31.46853;0.50165
E7-0784;31.89656;0.37013
F2-0306;32.00795;3.46875
F2-0307;32.00795;3.46875
F2-0308;32.00795;3.46875
F2-0309;32.00795;3.46875
F2-0310;32.06627;3.32345
F2-0311;32.06627;3.32345
F2-0312;32.06627;3.32345
F2-0313;32.06627;3.32345
F2-0314;32.12154;3.26139
F2-0316;32.12154;3.26139
F2-0317;32.12154;3.26139
F2-0318;32.15096;3.47374
F2-0319;32.15096;3.47374
F2-0320;32.15096;3.47374
F2-0321;32.15096;3.47374
F2-0323;32.01816;3.48194
F2-0324;32.01816;3.48194
